timestamp(ms),Livello Fumo,
"1775735400.657","553",
"1775735400.758","555",
"1775735400.858","553",
"1775735400.958","554",
"1775735401.058","555",
"1775735401.157","553",
"1775735401.257","551",
"1775735401.358","555",
"1775735401.457","553",
"1775735401.558","553",
"1775735401.657","554",
"1775735401.758","554",
"1775735401.857","556",
"1775735401.957","555",
"1775735402.057","556",
"1775735402.158","553",
"1775735402.257","552",
"1775735402.358","553",
"1775735402.457","554",
"1775735402.557","553",
"1775735402.657","554",
"1775735402.757","550",
"1775735402.857","552",
"1775735402.958","552",
"1775735403.057","552",
"1775735403.157","552",
"1775735403.257","558",
"1775735403.357","553",
"1775735403.457","552",
"1775735403.557","552",
"1775735403.657","553",
"1775735403.757","555",
"1775735403.858","554",
"1775735403.957","552",
"1775735404.057","550",
"1775735404.157","550",
"1775735404.257","553",
"1775735404.357","552",
"1775735404.457","549",
"1775735404.557","552",
"1775735404.657","551",
"1775735404.757","548",
"1775735404.857","553",
"1775735404.958","551",
"1775735405.057","551",
"1775735405.157","553",
"1775735405.257","550",
"1775735405.357","550",
"1775735405.457","550",
"1775735405.557","550",
"1775735405.657","549",
"1775735405.757","541",
"1775735405.857","551",
"1775735405.957","550",
"1775735406.057","549",
"1775735406.158","549",
"1775735406.257","544",
"1775735406.357","549",
"1775735406.457","549",
"1775735406.557","550",
"1775735406.657","547",
"1775735406.757","550",
"1775735406.858","547",
"1775735406.957","549",
"1775735407.057","547",
"1775735407.157","548",
"1775735407.257","549",
"1775735407.357","548",
"1775735407.457","551",
"1775735407.557","544",
"1775735407.657","548",
"1775735407.757","548",
"1775735407.857","544",
"1775735407.957","544",
"1775735408.057","548",
"1775735408.157","544",
"1775735408.257","543",
"1775735408.357","548",
"1775735408.458","544",
"1775735408.557","544",
"1775735408.658","550",
"1775735408.757","543",
"1775735408.857","548",
"1775735408.957","550",
"1775735409.057","544",
"1775735409.157","547",
"1775735409.257","537",
"1775735409.357","539",
"1775735409.458","540",
"1775735409.557","566",
"1775735409.657","543",
"1775735409.757","542",
"1775735409.857","538",
"1775735409.957","543",
"1775735410.058","539",
"1775735410.158","543",
"1775735410.258","541",
"1775735410.357","544",
"1775735410.457","542",
"1775735410.558","541",
"1775735410.657","541",
"1775735410.757","542",
"1775735410.857","540",
"1775735410.958","541",
"1775735411.057","541",
"1775735411.158","542",
"1775735411.257","541",
"1775735411.357","541",
"1775735411.457","541",
"1775735411.557","532",
"1775735411.657","539",
"1775735411.757","542",
"1775735411.857","542",
"1775735411.957","540",
"1775735412.057","538",
"1775735412.157","539",
"1775735412.257","540",
"1775735412.357","537",
"1775735412.457","540",
"1775735412.558","539",
"1775735412.658","540",
"1775735412.757","539",
"1775735412.857","537",
"1775735412.957","541",
"1775735413.057","538",
"1775735413.157","537",
"1775735413.257","538",
"1775735413.357","541",
"1775735413.457","536",
"1775735413.557","538",
"1775735413.657","537",
"1775735413.757","538",
"1775735413.857","534",
"1775735413.957","538",
"1775735414.057","538",
"1775735414.158","539",
"1775735414.258","536",
"1775735414.357","536",
"1775735414.457","536",
"1775735414.558","537",
"1775735414.657","536",
"1775735414.757","535",
"1775735414.857","535",
"1775735414.957","537",
"1775735415.057","536",
"1775735415.157","537",
"1775735415.257","535",
"1775735415.357","536",
"1775735415.457","537",
"1775735415.557","536",
"1775735415.657","534",
"1775735415.757","536",
"1775735415.857","535",
"1775735415.957","539",
"1775735416.057","534",
"1775735416.157","535",
"1775735416.258","533",
"1775735416.357","536",
"1775735416.457","536",
"1775735416.557","533",
"1775735416.658","534",
"1775735416.757","535",
"1775735416.858","534",
"1775735416.957","533",
"1775735417.057","534",
"1775735417.157","533",
"1775735417.257","534",
"1775735417.357","530",
"1775735417.457","533",
"1775735417.558","539",
"1775735417.657","536",
"1775735417.758","501",
"1775735417.857","535",
"1775735417.957","534",
"1775735418.057","536",
"1775735418.158","534",
"1775735418.257","534",
"1775735418.357","534",
"1775735418.457","534",
"1775735418.557","533",
"1775735418.657","535",
"1775735418.757","529",
"1775735418.857","533",
"1775735418.957","533",
"1775735419.058","532",
"1775735419.157","534",
"1775735419.257","534",
