Timestamp_Unix,Bus_V,Shunt_mV,Current_mA,Power_mW
1779966986.3820858,Bus Voltage,Shunt Voltage,Current,Power
1779966987.1386797,5.056,4.380,44.100,222.000
1779966987.1427588,5.056,4.370,44.200,222.000
1779966987.1466396,5.056,4.410,44.000,222.000
1779966987.149694,5.056,4.410,44.300,222.000
1779966987.153701,5.060,4.390,44.100,220.000
1779966987.1575837,5.056,4.390,44.100,222.000
1779966987.1607342,5.056,4.400,44.100,222.000
1779966987.1647637,5.056,4.400,44.200,222.000
1779966987.167868,5.056,4.400,43.700,222.000
1779966987.1717088,5.052,4.410,43.600,220.000
1779966987.175817,5.060,4.370,43.800,222.000
1779966987.178806,5.056,4.370,43.700,222.000
1779966987.1828363,5.060,4.420,44.100,222.000
1779966987.18678,5.056,4.390,44.200,222.000
1779966987.1898284,5.056,4.380,44.000,222.000
1779966987.1937826,5.056,4.370,44.000,220.000
1779966987.197696,5.056,4.440,44.200,222.000
1779966987.2007833,5.056,4.400,44.200,222.000
1779966987.2048132,5.056,4.420,44.000,222.000
1779966987.208688,5.056,4.400,44.000,222.000
1779966987.2117972,5.056,4.380,43.900,222.000
1779966987.215707,5.056,4.400,44.200,222.000
1779966987.2196743,5.056,4.410,44.300,222.000
1779966987.2228074,5.056,4.380,43.900,222.000
1779966987.226637,5.056,4.390,43.800,222.000
1779966987.230671,5.052,4.380,44.100,222.000
1779966987.2337265,5.060,4.400,44.000,222.000
1779966987.237901,5.056,4.400,44.000,222.000
1779966987.2419121,5.060,4.370,44.100,222.000
1779966987.2448013,5.056,4.360,44.000,220.000
1779966987.248822,5.056,4.420,44.200,222.000
1779966987.2525494,5.060,4.410,44.100,222.000
1779966987.255789,5.056,4.410,44.200,222.000
1779966987.2598348,5.056,4.380,44.000,222.000
1779966987.2627392,5.056,4.390,43.800,222.000
1779966987.266708,5.056,4.420,44.100,222.000
1779966987.270719,5.056,4.390,44.300,222.000
1779966987.2736611,5.060,4.410,43.800,222.000
1779966987.277727,5.056,4.400,43.900,222.000
1779966987.2816484,5.056,4.390,43.900,222.000
1779966987.2848542,5.056,4.430,43.700,220.000
1779966987.2887478,5.060,4.420,44.000,222.000
1779966987.2925954,5.056,4.360,43.900,222.000
1779966987.2958243,5.052,4.370,43.700,222.000
1779966987.2997959,5.056,4.370,44.200,222.000
1779966987.3036723,5.056,4.390,43.900,222.000
1779966987.3066576,5.056,4.440,44.300,222.000
1779966987.3106625,5.056,4.400,43.700,222.000
1779966987.313806,5.056,4.380,43.900,222.000
1779966987.3177743,5.060,4.420,44.100,222.000
1779966987.3217442,5.056,4.410,44.100,222.000
1779966987.3247976,5.056,4.400,43.900,222.000
1779966987.3287256,5.056,4.390,43.700,222.000
1779966987.3328402,5.056,4.400,43.700,220.000
1779966987.3358421,5.056,4.430,44.300,222.000
1779966987.339804,5.056,4.410,58.500,294.000
1779966987.3437223,5.052,6.100,61.000,308.000
1779966987.346814,5.052,6.090,60.900,308.000
1779966987.3508105,5.048,6.120,56.400,286.000
1779966987.3545828,5.056,5.090,50.900,230.000
1779966987.3578196,5.052,5.560,48.700,246.000
1779966987.3616796,5.052,5.530,51.600,252.000
1779966987.3655148,5.056,5.050,55.400,278.000
1779966987.3686943,5.056,4.560,55.500,252.000
1779966987.3728354,5.056,5.520,54.400,276.000
1779966987.3766773,5.052,5.550,62.100,314.000
1779966987.3797784,5.052,6.160,61.600,308.000
1779966987.3838425,5.048,6.160,61.300,312.000
1779966987.3876,5.052,5.840,49.400,232.000
1779966987.3908422,5.052,5.590,61.800,312.000
1779966987.3948357,5.052,6.220,61.900,312.000
1779966987.398593,5.052,6.180,61.800,312.000
1779966987.4016514,5.048,5.550,61.300,312.000
1779966987.405899,5.052,6.320,72.600,368.000
1779966987.408714,5.040,7.670,62.200,314.000
1779966987.4127011,5.056,6.280,62.800,314.000
1779966987.4167798,5.052,6.240,62.200,314.000
1779966987.4197655,5.052,6.240,62.900,322.000
1779966987.4237077,5.052,5.840,63.200,318.000
1779966987.4275475,5.048,6.330,63.500,318.000
1779966987.4307206,5.048,6.320,63.200,318.000
1779966987.4352088,5.052,5.690,63.700,322.000
1779966987.4388955,5.052,6.450,64.000,324.000
1779966987.4419403,5.052,6.440,64.500,324.000
1779966987.4459448,5.052,5.920,64.400,324.000
1779966987.4496872,5.048,6.440,64.800,328.000
1779966987.4528224,5.048,6.450,65.000,330.000
1779966987.456712,5.052,6.560,65.800,330.000
1779966987.4605436,5.052,6.570,65.800,330.000
1779966987.4636393,5.048,6.570,65.900,334.000
1779966987.467893,5.048,6.510,65.900,334.000
1779966987.471676,5.052,6.630,66.300,338.000
1779966987.4747694,5.048,6.690,66.800,338.000
1779966987.4788861,5.052,6.070,66.800,338.000
1779966987.482584,5.052,6.690,66.900,338.000
1779966987.4858088,5.048,6.700,67.000,340.000
1779966987.4897187,5.048,6.780,67.600,340.000
1779966987.492936,5.048,6.770,68.100,344.000
1779966987.4968443,5.052,6.830,68.000,344.000
1779966987.5007393,5.052,6.820,68.400,344.000
1779966987.5038075,5.048,6.810,68.200,348.000
1779966987.50794,5.048,6.900,69.200,350.000
1779966987.5117145,5.052,6.900,69.100,350.000
1779966987.514812,5.048,6.910,69.200,350.000
1779966987.518766,5.052,6.920,69.200,340.000
1779966987.5226057,5.044,6.980,69.900,354.000
1779966987.525755,5.048,7.020,70.300,354.000
1779966987.5297835,5.052,7.060,70.600,358.000
1779966987.5336394,5.048,7.030,70.300,354.000
1779966987.5368242,5.048,7.040,70.600,358.000
1779966987.540902,5.048,7.140,71.600,360.000
1779966987.5444527,5.044,7.140,71.600,360.000
1779966987.5477934,5.048,7.170,71.100,360.000
1779966987.5517387,5.048,7.170,71.500,360.000
1779966987.555566,5.048,7.180,61.700,312.000
1779966987.5587597,5.052,6.200,62.100,314.000
1779966987.5628047,5.048,6.190,61.700,302.000
1779966987.565794,5.052,6.160,61.600,312.000
1779966987.569817,5.052,6.160,61.500,308.000
1779966987.5738258,5.052,6.220,61.900,312.000
1779966987.5767944,5.052,4.600,54.200,286.000
1779966987.5808463,5.048,6.230,61.800,312.000
1779966987.584741,5.048,6.140,61.400,312.000
1779966987.587785,5.052,7.810,78.100,374.000
1779966987.5918918,5.048,7.230,72.500,368.000
1779966987.59568,5.048,7.240,72.700,368.000
1779966987.5988436,5.048,7.280,71.000,358.000
1779966987.6027293,5.048,7.290,72.600,368.000
1779966987.6066258,5.048,7.300,73.000,368.000
1779966987.6096845,5.044,7.340,73.600,370.000
1779966987.613729,5.044,7.350,73.300,370.000
1779966987.617524,5.044,7.330,73.200,370.000
1779966987.6207192,5.048,7.320,73.300,338.000
1779966987.624617,5.048,7.330,73.600,370.000
1779966987.6285257,5.048,7.400,73.800,370.000
1779966987.6318247,5.048,7.350,67.700,340.000
1779966987.6358204,5.048,7.310,73.300,370.000
1779966987.638827,5.044,7.340,73.200,370.000
1779966987.642809,5.044,7.340,71.500,360.000
1779966987.646852,5.048,7.370,73.700,370.000
1779966987.6497831,5.044,7.400,73.500,370.000
1779966987.6537728,5.044,7.310,73.800,350.000
1779966987.6576617,5.044,7.350,73.400,370.000
1779966987.6607044,5.044,7.370,73.900,374.000
1779966987.6647193,5.044,7.370,67.400,340.000
1779966987.6685436,5.048,7.390,73.300,370.000
1779966987.6716974,5.048,7.340,73.400,370.000
1779966987.6757946,5.044,7.330,67.700,340.000
1779966987.679572,5.048,7.380,74.000,374.000
1779966987.6828864,5.048,7.370,73.600,370.000
1779966987.686843,5.048,7.320,67.800,370.000
1779966987.6906142,5.044,7.340,73.400,370.000
1779966987.693871,5.048,7.340,74.000,374.000
1779966987.697837,5.052,7.030,73.400,370.000
1779966987.7015586,5.044,7.370,73.800,374.000
1779966987.704744,5.044,7.320,73.200,370.000
1779966987.7086322,5.048,7.330,67.300,340.000
